Empresa,Relato_Lematizao_SW
Nubank,"['instituição', 'publicar', 'dado', 'site', 'registrato', 'autorização', 'cobrar', 'dívida', 'valor', 'exorbitante', 'valor', 'real', '.']"
Nubank,"['dívida', 'quadruplicar', 'juro', 'abusivo']"
Nubank,"['prezar', 'entrar', 'contato', 'expressar', 'insatisfação', 'situação', 'cartão', 'crédito', 'bloquear', 'registro', 'inadimplência', 'serasa', 'ambos', 'resultar', 'juro', 'elevar', 'aplicar', 'dívida', 'nubank', '.', 'entendo', 'importância', 'manter', 'conta', 'devido', 'juro', 'considerar', 'abusivo', 'dívida', 'tornar', 'difícil', 'quitar', '.', 'gostar', 'solicitar', 'análise', 'renegociação', 'condição', 'atual', 'possibilitar', 'redução', 'juro', 'proposta', 'pagamento', 'viável', '.', 'assim', 'acreditar', 'poder', 'quitar', 'dívida', 'resolver', 'situação', 'maneira', 'atender', 'ambos', 'parte', '.', 'aguardo', 'retorno', 'positivo', 'possar', 'junto', 'encontrar', 'bom', 'solução', '.', 'atenciosamente', 'murillo']"
Nubank,"['preciso', 'enviar', 'descritivo', 'completo', 'evolução', 'dívida', 'cartão', 'crédito', '.']"
Banco do Brasil,"['preciso', 'entender', 'valor', 'dívida']"
Banco do Brasil,"['nome', 'serasa', 'autorização', 'empresa', 'privado', 'fazer', 'dado', 'permissão']"
Caixa Econômica Federal,"['várias', 'tentativa', 'ainda', 'constar', 'relatório', 'Banco', 'central', 'registro', 'prejuízo', '.']"
Banco do Brasil,"['gostar', 'pagar', 'dívida', 'valor', 'alto', 'w']"
Caixa Econômica Federal,"['bom', 'tudo', 'bem', 'informo', 'cartão', 'débito', 'contar', 'poupançaxxxxxx', 'vencer', 'hoje', 'ainda', 'recebir', 'através', 'correio', '.', 'referenteao', 'cartão']"
Banco do Brasil,"['data', 'verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'serviço', 'indique', 'serviço', 'cobrar', 'exemplo', 'seguro', 'título', 'capitalização', 'etc', 'valor', 'indique', 'valor', 'cobrança', 'reconhecer', 'solicitei', 'autorizar', 'contratação', '.', 'descrevar', 'contato', 'realizar', 'empresa', 'indicar', 'data', 'horário', 'atendimento', 'receber', 'informe', 'valor', 'contestar', 'pagar']"
Nubank,"['nubank', 'cobrar', 'juros', 'absurdo', 'quitação', 'divido', 'tentar', 'diversos', 'vez', 'negociação', 'afim', 'pagar', 'divida', 'sucesso', '.']"
Nubank,"['nome', 'colocar', 'órgão', 'restrição', 'ilegalidade', 'total', 'conta', 'instituição']"
Nubank,"['preciso', 'empresa', 'dê', 'condição', 'renegociar', 'valor', 'porém', 'contato', 'telefônico', 'juro', 'grande', 'aplicativo', '.']"
Banco Inter (Banco Intermedium),"['luco', 'Souza', 'Ribeiro', 'devidamente', 'qualificar', 'venho', 'meio', 'expor', 'requerer', 'seguinte', '.', 'pertencente', 'quadro', 'funcionário', 'secretaria', 'ciência', 'tecnologia', 'inovação', 'secti', 'cujo', 'vinculo', 'permitir', 'acesso', 'empréstimo', 'consignar', 'emprestimo', 'comum', 'junto', 'banco', 'inter', 'valor', 'parcela', 'mensal', 'r', 'junto', 'banco', 'santander', 'valor', 'parcela', 'mensal', 'r', 'conforme', 'demonstrar', 'relatório', 'anexo', '.', 'contratar', 'ibametro', 'mediante', 'matrícula', 'sob', 'regime', 'reda', 'percebi', 'unificação', 'lançamento', 'empréstimo', 'bem', 'todo', 'demais', 'consignado', 'existente', 'montante', 'equiparase', 'equivalente', 'valor', 'salário', '.', 'empréstimo', 'suspenso', 'reativar', 'projetar', 'lançamento', 'futuro', 'qualquer', 'informação', 'comunicação', 'prévio', 'contradizr', 'digesto', 'consumerista', '.', 'art', '.', 'direito', 'básico', 'consumidor', 'iii', 'informação', 'adequado', 'claro', 'sobre', 'diferentes', 'produto', 'serviço', 'especificação', 'correto', 'quantidade', 'característico', 'composição', 'qualidade', 'tributo', 'incidente', 'preço', 'bem', 'sobre', 'risco', 'apresentar', 'redação', 'lei', 'nº', '.', 'obstante', 'acionei', 'banco', 'inter', 'através', 'central', 'relacionamento', 'onde', 'permaneci', 'minuto', 'ligação', 'interromper', 'retorno', 'algum', 'instituição', 'financeiro', 'presente', 'horário', '.', 'ocorrer', 'soma', 'valor', 'corresponder', 'montante', 'comprometar', 'todo', 'fonte', 'renda', 'único', 'forma', 'sustento', 'logo', 'desconto', 'totalidade', 'trazer', 'prejuízo', 'imensurável', 'danoso', 'integridade', 'saúde', 'alimentação', 'além', 'gerar', 'ansiedade', 'angústir', '.', 'ver', 'solicito', 'instituição', 'renegociação', 'acordo', 'viabilizar', 'pagamento', 'coerente', 'dentro', 'capacidade', 'financeiro', 'infringir', 'permitido', 'lei', 'desconto', 'sobre', 'remuneração', 'salário', 'correspondente', '.', 'agradeço', 'compreensão', '.']"
Nubank,"['gastar', 'valor', 'cartão', 'crédito', 'condição', 'pagar', 'avista', 'tentar', 'fazer', 'parcelamento', 'antes', 'vencimento', 'fatura', 'lá', 'aparecer', 'gasto', 'grande', 'ainda', 'colocar', 'juro', 'cima', 'juros', 'absurdo', 'sinal', 'vencimento', 'fatura', 'juro', 'aumentar', 'tanto', 'dobro', 'valor', 'dívida', 'menos', 'mês']"
Banco Santander,"['constar', 'dívida', 'vencer', 'q', 'acordo']"
Banco Santander,"['banco', 'agência', 'peguei', 'senha', 'atendir', 'resolver', 'outro', 'chamado', 'constar', 'porém', 'além', 'resolver', 'problema', 'atendente', 'informar', 'colocar', 'senha', 'motivo', 'aparente', 'chegar', 'casa', 'simples', 'título', 'capitalização', 'pedir', 'pagar', 'antecipe', 'fatura', 'agora', 'fatura', 'valor', 'r', 'funcionário', 'agir', 'má', 'fé', '.']"
Nubank,"['preciso', 'descritivo', 'evolução', 'dívida']"
Nubank,"['utilizar', 'cartão', 'nubank', 'vez', 'atrasar', 'pagamento', 'falta', 'renda', '.', 'entanto', 'atrasar', 'buscar', 'meio', 'pagar', 'fatura', 'juro', 'justo', 'ok', '.', 'alterar', 'forma', 'cobrar', 'juro', 'dívida', 'ficar', 'estratosférica', 'nenhum', 'condição', 'cliente', 'ficar', 'azul', '.', 'outro', 'instituição', 'financeiro', 'dívida', 'inicial', 'semelhante', 'nubank', 'valor', 'bem', 'baixo', 'nubank', 'período', 'tempo', 'semelhante', '.', 'além', 'outro', 'instituição', 'oferecer', 'condição', 'auxiliar', 'quitação', 'dívida', 'coisa', 'nubankr', 'fazer', '.', 'embora', 'parte', 'problema', 'culpa', 'atrasar', 'falta', 'trabalho', 'dinheiro', 'fazer', 'sentido', 'nenhum', 'valor', 'inicial', 'dívida', 'valor', 'atual', 'mil', 'real', '.', 'desempregar', 'difícil', 'pagar', 'dívida', 'original', 'menos', 'real', 'condição', 'pagar', 'mil', 'tentar', 'ligar', 'mandar', 'mensagem', 'resposta', 'nunca', 'mudar', 'interessado', 'condição', 'realidade', 'cliente', '.', 'feirão', 'limpa', 'nome', 'serasa', 'imaginar', 'proposta', 'coerente', 'insistir', 'acordo', 'saber', 'mês', 'condição', 'pagar', '.']"
Nubank,"['verifiquei', 'extrato', 'ainda', 'constar', 'cobrança', 'valor', 'acima', 'dever', 'valor', 'r', 'reconhecer', 'ver', 'juro', 'sobre', 'juro', 'alto', '.', 'nubank', 'responder', 'nenhum', 'proposta', 'pagamento', 'valor', 'Real', 'aceitar', 'acordo', 'continuar', 'negativar', 'perante', 'banco', '.']"
Banco do Brasil,"['nome', 'sujo', 'registrato', 'pendencia', 'banco', '.']"
Banco Santander,"['paguei', 'nome', 'prejuízo']"
C6 Bank,"['investimento', 'poder', 'usar', 'cartão', 'crédito', 'dois', 'pagamento', 'gerar', 'saldo', 'debitar', 'valor', 'cartão', 'pagar', 'investimento', 'fazer', 'todo', 'mês', 'gerar', 'juro', 'mês', 'seguinte', 'real', 'pagar', 'algo', 'saldo', 'dinheiro', 'investir', 'deixar', 'sacar']"
Nubank,"['data', 'verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'serviço', 'indique', 'serviço', 'cobrar', 'exemplo', 'seguro', 'título', 'capitalização', 'etc', 'valor', 'indique', 'valor', 'cobrança', 'reconhecer', 'solicitei', 'autorizar', 'contratação', '.', 'descrevar', 'contato', 'realizar', 'empresa', 'indicar', 'data', 'horário', 'atendimento', 'receber', 'informe', 'valor', 'contestar', 'pagar']"
Nubank,"['pagar', 'divida', 'desconto', 'banco', 'enviar', 'nome', 'pro', 'src', 'prejuizo', 'prejudicar', 'conseguir', 'credito', '.', 'banco', 'querer', 'fazer', 'acordo', 'comigo', 'nao', 'poder', 'prejudicar', 'segundo', 'entedimento', 'stj', '.', 'solicitar', 'imediato', 'retirada', 'nome', 'registrato', '.']"
Nubank,"['divido', 'hoje', 'renegociação', 'percebar', 'juro', 'acima', 'media', 'Banco', 'central', 'evolição', 'divida', '.', 'juro', 'abusivo', 'prosseguir', 'pagar', '.']"
Nubank,"['retirar', 'restrição', 'registrato', 'banco', 'central', 'dívida', 'pagar', 'site', 'serasa', 'site', 'retirar', 'restrição', 'porém', 'constar', 'registrato', 'banco', 'central', 'gostar', 'retirar', 'restrição', 'pagar', 'dívida', '.']"
Banco do Brasil,"['solicitar', 'tirar', 'nome', 'relatório', 'prejuízo', 'registrato']"
Nubank,"['bom', 'noite', 'divida', 'nu', 'bank', 'porém', 'verificar', 'valor', 'possível', 'acordo', 'serasa', 'valor', 'altíssimo', '.', 'gostar', 'solicitar', 'descritivo', 'evolução', 'dívida', '.']"
Banco Itaú Unibanco,"['preciso', 'descritivo', 'evolução', 'dívida', 'cheque', 'especial', '.']"
Nubank,"['tentar', 'varia', 'vez', 'negociar', 'banco', 'n', 'aceitar', 'condição', 'pagar', 'divida', '.', 'gerar', 'relatorio', 'pejuizo', 'bacen']"
Nubank,"['desejo', 'detalhamento', 'divida', 'juro', 'multa', 'correção']"
Nubank,"['querer', 'pagar', 'nao', 'consigo', 'contato', 'proposta', 'quitacao', 'nao', 'retir', 'juro', '.', 'negativado', 'poder', 'compra', 'boa', 'intencoe', 'pagamento', 'flexibilidade', 'banco', '.', 'desconto', 'quitação', 'flexibilidade', 'oferto', 'data', 'pagamento', '.']"
Nubank,"['bom', 'noite', 'tudo', 'bom', 'venho', 'solicitar', 'analise', 'cadastro', 'aumento', 'limite', 'cartão', 'disponibilidade', 'emprestimo', 'pessoal', 'possuor', 'conta', 'cartão', 'dois', 'ano', 'nunca', 'aumentar', 'limite', 'emprestimo', 'liberar', 'apenas', 'r', 'mil', 'disponivel', 'outro', 'limite', 'incompativel', 'renda', '.', 'seguir', 'anexo', 'extrato', 'bancário', 'principal', 'banco', 'utilizar', 'santander', 'caso', 'precise', 'mês', 'informar', '.']"
Banco do Brasil,"['seguir', 'pedir', 'fazer', 'cumprir', 'resolução', 'bacen', '.', 'tentar', 'conseguir', 'agência', 'atendimento', 'negar']"
Mercado Pago,"['procur', 'atendimento', 'sessão', 'ajudar', 'aplicativo', 'então', 'transferir', 'whatsapp', '.', 'rapaz', 'chamar', 'anízio', 'trajano', 'atender', '.', 'pergunte', 'sobre', 'vencimento', 'cartãoque', 'gostar', 'saber', 'mudar', 'data', 'cartão', 'determinado', 'data', 'vencimento', 'dezembro', '.', 'sumir', 'demorar', 'responder', 'voltar', 'voltar', 'questão', 'falar', 'coisa', 'saber', '.', 'então', 'falar', 'tar', 'explicar', 'nada', 'novo', 'tudo', 'tar', 'falar', 'saber', 'porque', 'atendimento', 'virtual', 'falar', 'continuar', 'repetir', 'coisa', 'atendimento', 'virtual', 'falar', '.', 'então', 'nada', 'encerrar', 'chat', 'dizer', 'informação', 'passado', 'deixar', 'falar', 'sozinha', 'enquanto', 'ainda', 'escrever', 'mensagem', 'chegar', 'escrever', 'monte', 'explicar', 'porque', 'querer', 'saber', 'lá', 'deixar', 'falar', 'sozinha', '.', 'encerrar', 'chat', '.', 'falta', 'educação', 'cliente', 'porque', 'mercado', 'pagar', 'contratar', 'negócio', 'home', 'office', 'ficar', 'sofrer', 'cliente', 'todo', 'vez', 'atender', 'home', 'office', 'mercado', 'pagar', 'nunca', 'bem', 'atendido', 'vez', 'resolver', 'reclamar', 'porque', 'magoada', 'cliente', '.', 'simplesmente', 'deixar', 'falar', 'sozinha', 'sobre', 'situação', 'importante.porque', 'pagar', 'cartão', 'data', 'aí', 'ficar', 'ruim', 'né', '.', 'todo', 'vida', 'ano', 'vir', 'nunca', 'atendimento', 'deixar', 'falar', 'sozinha', 'dúvida', '.', 'decepcionar', 'equipe', 'mercado', 'pagar', '.', 'triste', 'jeito', 'tratar', 'cliente', '.', 'esperar', 'poder', 'melhorar', 'porque', 'primeiro', 'vez', 'tratar', 'mão', 'outro', 'vez', 'menos', 'esperar', 'acabar', 'perguntar', 'ainda', 'algum', 'dúvida', 'dessa', 'vez', 'demais', '.', 'empresa', 'coragem', 'tratar', 'cliente', 'forma', 'deixar', 'dentro', 'meio', 'conversa', 'aviser', 'explicar', 'direito', 'explicar', 'fazer', 'reclamação', 'assim', 'fazer', 'nada', 'continuar', 'repetir', 'coisa', 'saber', 'deixar', 'falar', 'sozinha', 'finalizar', '.']"
Banco Bradesco,"['dívida', 'ano', 'ainda', 'contar', 'serviço', 'proteção', 'crédito']"
Banco do Brasil,"['encontro', 'super', 'endividar', 'possuo', 'emprestimo', 'debitar', 'conta', 'corrente', 'vir', 'comprometer', 'renda', 'querer', 'pedir', 'suspensão', 'desconto', 'conta', 'corrente', 'base', 'resolução', 'base', 'base', 'tema', 'bancário']"
Nubank,"['juro', 'condizr', '.', 'alto', '.', 'condição', 'pagar']"
Banco do Brasil,"['realizeir', 'acordo', 'dívida', 'credito', 'automático', 'credito', 'salario', 'Banco', 'Brasil', 'através', 'programa', 'desenrolar', 'Brasil', 'serasa', '.']"
Caixa Econômica Federal,"['descobrir', 'dívida', 'semana', 'passado', 'totalmente', 'interessar', 'quitala', '.', 'imediato', 'preciso', 'Banco', 'disponibilizar', 'boleto', '.', 'conseguir', 'agência', 'meio', 'onliner']"
Nubank,"['dívida', 'quebradose', 'tornar', 'querer', 'renegociar', 'porém', 'preço', 'justotenho', 'bom', 'fé', 'arcaragora', 'estabilizandomesmo', 'mil', 'ainda', 'achar', 'injusto']"
Nubank,"['nubank', 'incluir', 'registrato', 'Banco', 'central', 'autorização', '.', 'procur', 'nubank', 'canal', 'contato', 'liguei', 'solicitar', 'exclusão', 'registro', 'registrato', 'Banco', 'central', 'valor', 'r', 'registro', 'aparecer', 'prejuízo', '.', 'nubank', 'recusar', 'fazer', 'recusar', 'fornecer', 'número', 'protocólo', '.']"
Nubank,"['contratar', 'emprestimo', 'valor', 'aplicativo', 'renegociar', 'serasa', 'divido', 'aplicativo']"
Caixa Econômica Federal,"['verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'serviço', 'indique', 'serviço', 'cobrar', 'exemplo', 'seguro', 'título', 'capitalização', 'etc', 'valor', 'r', 'reconhecer', 'solicitei', 'autorizar', 'contratação', '.', 'valor', 'encontrar', 'site', 'bacen', '.']"
Caixa Econômica Federal,"['prezar', 'conforme', 'resolução', 'nº', 'março', 'capítulo', 'iv', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorização', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.', 'capítulo', 'iv', 'cancelamento', 'autorização', 'débito', 'art', '.', 'assegurar', 'titular', 'conta', 'direito', 'cancelar', 'autorização', 'débito', '.', 'parágrafo', 'único', '.', 'cancelamento', 'autorização', 'débito', 'conta', 'poder', 'formalizar', 'instituição', 'depositário', 'meio', 'instituição', 'destinatário', '.', 'evitar', 'grande', 'transtorno', 'conflito', 'resolução', 'reforço', 'antes', 'vigência', 'resolução', 'Tínhamos', 'pleno', 'efeito', 'resolução', 'inclusive', 'servir', 'base', 'resolução', 'ano', 'resolução', 'bacen', 'nº', 'art', '.', 'vedar', 'instituição', 'financeiro', 'realização', 'débito', 'conta', 'depósito', 'prévio', 'autorização', 'cliente', '.', 'autorização', 'referir', 'caput', 'dever', 'fornecir', 'escrito', 'meio', 'eletrônico', 'estipulação', 'prazo', 'validade', 'poder', 'indeterminar', 'admitir', 'previsão', 'próprio', 'instrumento', 'contratual', 'abertura', 'conta', 'depósito', '.', 'cancelamento', 'autorização', 'referir', 'caput', 'dever', 'surtir', 'efeito', 'partir', 'data', 'definir', 'cliente', 'falta', 'partir', 'data', 'recebimento', 'instituição', 'financeiro', 'pedido', 'pertinente', 'forma', 'desde', 'resolução', 'Banco', 'central', 'Brasil', 'autorizar', 'cancelamento', 'débito', 'automático', 'conta', '.', 'portanto', 'reforço', 'antes', 'qualquer', 'negativa', 'senhor', 'avaliar', 'remetar', 'pedido', 'área', 'alto', 'banco', 'reforço', 'pedido', 'solicito', 'cancelamento', 'todo', 'débito', 'automático', 'realizar', 'conta', 'corrente', 'salário', 'poupançar', 'referente', 'contrato', 'firmar', 'ano', '.', 'solicitar', 'meio', 'requerimento', 'todo', 'contrato', 'característica', 'crédito', 'direto', 'consumidor', 'consignação', 'folha', 'pagamento', 'autorização', 'débito', 'conta', 'cancelada', 'partir', 'próximo', 'parcela', 'direito', 'pagar', 'referida', 'parcêl', 'via', 'boleto', 'bancário', 'diretamente', 'boca', 'caixa', 'qualquer', 'agência', 'instituição', '.', 'conhecimento', 'apesar', 'incontável', 'decisão', 'judicial', 'garantir', 'direito', 'consumidor', 'banco', 'negar', 'tal', 'solicitação', 'então', 'querer', 'reforçar', 'pleno', 'conhecimento', 'existência', 'resolução', 'n.º', 'bacen', 'resolução', 'nº', 'qualquer', 'tempo', 'poder', 'cancelar', 'solicitação', 'anterior', 'autorização', 'débito', 'conta', '.']"
Banco do Brasil,"['reclamação', 'hoje', 'condição', 'acertar', 'divido', 'instituição', 'valor', 'propuser', 'caber', 'orçamento', 'devido', 'desemprego', 'agora', 'aposentado', 'proposta', 'banco', 'alto', '.', 'insatisfação', 'ainda', 'ainda', 'fazer', 'nenhum', 'proposta', 'quitação', 'hoje', 'fazer', 'cartão', 'compra', 'constar', 'nome', 'negativar', '.']"
Banco do Brasil,"['realizeir', 'negociação', 'dois', 'débito', 'possuir', 'junto', 'banco', 'Brasil', 'negativar', 'nome', 'spc', 'serasarealizei', 'pagamento', 'primeiro', 'parcela', 'solicitar', 'retirada', 'nome', 'órgão', 'proteção', 'solicitar', 'retirada', 'nome', 'registrato', 'bacen', 'ver', 'parcelei', 'dívida', 'impedir', 'acesso', 'crédito', 'outro', 'instituição', '.']"
Mercado Pago,"['pedir', 'enviar', 'instituição', 'recebedor', 'encontrar', 'parte', 'valor', 'análise', 'concluir', 'devolver', 'parcialmente', 'parte', 'r', 'recuperar', 'atualizar', '.', 'detalhe', 'pedido', 'valor', 'transação', 'r', 'número', 'operação', 'xxx.xxx.xxxxx', 'nome', 'recebedor', 'ellen', 'victor', 'Cardoso', 'lima', 'instituição', 'recebedor', 'Banco', 'inter', 's.a', '.', 'motivo', 'denúncia', 'sofri', 'golpe', 'estelionato']"
Nubank,"['prezar', 'equipe', 'nubank', 'gostar', 'registrar', 'reclamação', 'relação', 'situação', 'nome', 'relatório', 'empréstimo', 'financiamento', 'scr', 'Banco', 'central', '.', 'quitar', 'todo', 'dívida', 'nubank', 'assim', 'nome', 'ainda', 'constar', 'scr', 'causar', 'transtorno', 'atividade', 'financeiro', '.', 'ilustrar', 'gostar', 'citar', 'experiência', 'banco', 'Will', 'bank', '.', 'quitar', 'dívida', 'nome', 'retirar', 'scr', 'forma', 'rápido', 'eficiente', 'mês', 'seguinte', '.', 'tipo', 'agilidade', 'comprometimento', 'cliente', 'algo', 'esperar', 'nubank', '.', 'peço', 'verifiquir', 'situação', 'urgência', 'providenciar', 'atualização', 'cadastro', '.', 'agradeço', 'desde', 'atenção', 'aguardo', 'resposta', '.']"
Mercado Pago,"['conta', 'mercado', 'pagar', 'mercado', 'livre', 'suspensas', 'nenhum', 'motivo', '.', 'alegar', 'atividade', 'suspeito', 'conta', 'deper', 'conta', 'cartão', '.', 'trabalhar', 'principalmente', '.', 'dinheiro', 'retir', 'desde', 'setembro', 'entrar', 'contato', 'várias', 'vez', 'pedir', 'liberar', 'sucesso', 'conseguir', 'usar', 'conta', 'agora', 'usar', 'cartão', 'crédito', '.', 'proibir', 'inclusive', 'comprar', 'mercado', 'livre', 'coisa', 'sempre', 'frequência', 'acreditar', 'errar', 'lei', 'proibir', 'comprar', 'lá', 'nenhum', 'motivo', '.']"
Nubank,"['quase', 'dois', 'ano', 'cliente', 'banco', 'Nubank', 'sempre', 'paguei', 'fatura', 'porém', 'passar', 'algum', 'dificuldade', 'financeiro', 'paguei', 'valor', 'minimo', 'fatura', 'r', 'doc', '.', 'parcelei', 'restante', 'fatura', 'outro', 'solução', 'ficar', 'valor', 'r', 'parcelar', 'x', '.', '.', 'analizar', 'fatuta', 'calma', 'notar', 'unica', 'parcela', 'total', 'quitação', 'total', 'divida', 'r', '.', 'referente', 'seguinte', 'parcela', '.', 'x', 'r', 'r', 'x', 'x', '.', 'totalizar', 'r', '.', 'liguei', 'argumentar', 'motivo', 'cobrar', 'juro', 'sobre', 'valor', 'real', 'divida', 'solicitar', 'extrato', 'todo', 'divido', 'taxa', 'juro', 'cobrar', 'porém', 'recusar', '.', 'ligação', 'quitação', 'antecipar', 'debito', 'total', 'cobrar', 'importancia', 'r', 'quase', 'juro', 'antecipação', 'total', 'debito', 'algo', 'extremante', 'abusivo', '.', 'requerer', 'extrato', 'detalhar', 'todo', 'parcela', 'fatura', 'cartão']"
Caixa Econômica Federal,"['recebir', 'ligação', 'numero', 'voz', 'feminna', 'passar', 'funcionaria', 'agencia', 'caixa', 'economico', 'federal', 'conta', 'poupanço', 'informar', 'identificar', 'transação', 'valor', 'r', 'reconhecia', 'respondi', 'nao', '.', 'informar', 'seguida', 'efetuar', 'bloqueio', 'transferir', 'falar', 'central', 'segurança', 'Banco', 'Caixa', 'Econômica', 'Federal', 'numero', '.', 'outro', 'pessoa', 'atender', 'nome', 'Ricardo', 'rodriues', 'passar', 'informaçao', 'precisar', 'fazer', 'auditoria', 'antifraude', 'bloquear', 'operação', '.', 'mencionar', 'outro', 'transação', 'pagamento', 'agendar', 'conta', 'valor', 'r', 'onde', 'precisar', 'acessar', 'aplicativo', 'banco', 'fazer', 'cancelamento', '.', 'nao', 'autorizel', 'nenhum', 'transação', 'aumento', 'limite', 'transferência', 'verifiquei', 'alterar', 'algum', 'acesso', 'outro', 'equipamento', 'invasão', 'cibernetico', 'aplicativo', 'momento', 'verifiquei', 'acessar', 'conta', 'fazer', 'transferencia', 'valor', 'r', 'conta', 'outro', 'conta', 'Banco', 'digital', 'pagseguro', 'sa', 'nome', 'ruan', 'Fernandes', 'santo', 'cnpj', '.', 'posteriormente', 'informar', 'tambem', 'outro', 'transação', 'valor', 'r', 'nome', 'Victor', 'hugo', 'carvalho', 'rejeitar', 'banco', '.', 'seguida', 'tentar', 'acessar', 'mminho', 'contar', 'verifiquei', 'senha', 'assinatura', 'eletrônico', 'bloquear', 'imediamente', 'ligação', 'encerrar', 'golpista', 'fraudador', 'Ricardo', '.', 'vitima', 'golpe', 'cibernético', 'imediatamente', 'procur', 'agencia', 'caixa', 'economico', 'proximo', 'comunicar', 'fato', 'processo', 'contestação', '.']"
Banco do Brasil,"['venho', 'meio', 'solicitar', 'revisão', 'decisão', 'reduzir', 'limite', 'cartão', 'crédito', 'limite', 'anteriormente', '.', 'ação', 'tomar', 'banco', 'Brasil', 'qualquer', 'aviso', 'prévio', 'justificativa', 'claro', 'sobre', 'motivo', 'tal', 'redução', 'causar', 'constrangimento', 'dificuldade', 'gerenciar', 'compromisso', 'financeiro', 'previamente', 'assumir', '.']"
Banco do Brasil,"['pessoal', 'bb', 'reclamação', 'preciso', 'resposta', 'formal', 'banco', 'situação', 'pouco', 'complicado', '.', 'pagamento', 'débito', 'automático', 'conta', 'valor', 'imobiliária', 'predial', 'leindecker', '.', 'pagamento', 'previsto', 'ocorrer', 'sábado', 'domingo', 'existir', 'feriado', 'municipal', 'cidade', 'abertura', 'conta', 'portanto', 'sistema', 'bb', 'apenas', 'processar', 'pagamento', '.', 'imobiliária', 'cobrar', 'multa', 'atraso', 'alegar', 'apenas', 'feriado', 'nacional', 'passível', 'estorno', 'comigo', 'alegar', 'aderente', 'débito', 'automático', 'autonom', 'sobre', 'data', 'débito', 'si', 'apenas', 'consigo', 'bloquear', 'liberar', 'algum', 'pagamento', 'conta', 'levar', 'pedido', 'campo', 'subsequente', '.']"
Nubank,"['bom', 'tarde', 'virar', 'vício', 'oculto', 'cartão', 'débito', 'crédito', 'banco', 'todo', 'vez', 'vir', 'fazer', 'transação', 'via', 'débito', 'compra', 'aprovar', 'dinheiro', 'conta', '.', 'ficar', 'chatear', 'situação', 'outro', 'coisa', 'bloquear', 'conhecimento', 'bloquear', 'hora', 'comprar', 'qualquer', 'coisa', 'qualquer', 'valor', 'diversos', 'reclamação', 'parecer', 'fazer', 'ouvido', 'mercador', '.']"
Nubank,"['wagner', 'barboso', 'Silva', 'cpf', 'xxx.xxx.xxxxx', 'telefone', 'xxx.xxx.xxxxx', 'reclamar', 'banco', 'po', 'informar', 'outro', 'intituição', 'defedor', 'nao', 'reconheço', 'divido', 'sim', 'cartao', 'credito', 'pagar', 'agencer', 'conta', 'xxxxxx', 'banco', 'nu', 'pagamento', 's.a', 'tentar', 'responbdo', 'temtar', 'efeituar', 'pagamento', 'caixa', 'economia', 'hum', 'sucessso', 'querer', 'intituição', 'retirar', 'divida', 'nome']"
Banco Itaú Unibanco,"['aparecer', 'nada', 'app', 'agência', 'dizer', 'nada', 'dever', 'lá', 'vender', 'outro', 'empresa', 'cobrança', '.']"
Nubank,"['preciso', 'descritivo', 'evolução', 'dívida', '.']"
Caixa Econômica Federal,"['conta', 'salario', 'contar', 'poupança', 'caixo', 'nunca', 'acessar', 'conta', 'salario', 'cartão', 'conta', 'caixa', 'limitado', '.']"
Caixa Econômica Federal,"['pagar', 'boleto', 'consórcio', 'caixo', 'consequência', 'acabar', 'pagar', 'boleto', 'financiamento', 'imobiliário', 'débito', 'automático', 'prestação', 'pagar', 'anexo', '.', 'assim', 'estornar', 'valor', 'r', 'efetuar', 'pagamento', 'parcela', 'r', 'vencer', '.', 'aguardo', 'retorno', '.']"
Banco Inter (Banco Intermedium),"['preciso', 'descritivo', 'evolucao', 'divido', '.']"
Nubank,"['preciso', 'descritivo', 'evolução', 'dívida', '.']"
Nubank,"['preciso', 'descritivo', 'evolução', 'dívida', '.']"
Nubank,"['prezar', 'conforme', 'aviso', 'superendividamento', 'enviar', 'previamente', 'sob', 'número', 'protocolo', 'desejo', 'oficializar', 'pedido', 'reestruturação', 'financeiro', 'diretamente', 'procon', 'banco', 'central', 'Brasil', 'bacen', '.', 'tentativa', 'anterior', 'contato', 'telefônico', 'pessoalmente', 'agência', 'conseguir', 'sucesso', 'oferto', 'proposta', 'alinhar', 'condição', 'atual', 'elevar', 'endividamento', 'impossibilitar', 'quitação', 'montante', 'sugerido', '.', 'saber', 'banco', 'tender', 'pedir', 'procon', 'recuse', 'tal', 'demanda', 'pedido', 'seguir', 'exato', 'recomendação', 'molde', 'código', 'defesa', 'consumidor', 'atualizar', 'lei', 'artigo', '.']"
